Date,Close
2018-01-02,32.96
2018-01-03,32.9
2018-01-04,32.51
2018-01-05,33.7
2018-01-08,33.49
2018-01-09,33.09
2018-01-10,32.66
2018-01-11,33.52
2018-01-12,32.37
2018-01-16,31.88
2018-01-17,32.57
2018-01-18,32.4
2018-01-19,33.07
2018-01-22,33.74
2018-01-23,34.1
2018-01-24,34.48
2018-01-25,34.64
2018-01-26,34.74
2018-01-29,34.42
2018-01-30,34.12
2018-01-31,33.76
2018-02-01,33.97
2018-02-02,33.91
2018-02-05,32.5
2018-02-06,31.83
2018-02-07,31.71
2018-02-08,29.44
2018-02-09,30.31
2018-02-12,31.31
2018-02-13,30.76
2018-02-14,31.69
2018-02-15,32.43
2018-02-16,32.38
2018-02-20,33.68
2018-02-21,33.68
2018-02-22,32.79
2018-02-23,36.78
2018-02-26,37.18
2018-02-27,36.96
2018-02-28,36.98
2018-03-01,37.35
2018-03-02,37.71
2018-03-05,38.18
2018-03-06,39.06
2018-03-07,39.23
2018-03-08,39.34
2018-03-09,39.51
2018-03-12,39.52
2018-03-13,39.35
2018-03-14,38.67
2018-03-15,38.66
2018-03-16,38.39
2018-03-19,38.24
2018-03-20,38.5
2018-03-21,38.61
2018-03-22,37.83
2018-03-23,37.72
2018-03-26,38.29
2018-03-27,37.5
2018-03-28,37.02
2018-03-29,37.77
2018-04-02,36.42
2018-04-03,36.73
2018-04-04,37.66
2018-04-05,38.91
2018-04-06,38.81
2018-04-09,38.42
2018-04-10,38.85
2018-04-11,38.61
2018-04-12,38.72
2018-04-13,38.56
2018-04-16,39.18
2018-04-17,40.47
2018-04-18,40.79
2018-04-19,40.73
2018-04-20,40.87
2018-04-23,40.55
2018-04-24,39.97
2018-04-25,39.99
2018-04-26,40.35
2018-04-27,40.5
2018-04-30,40.29
2018-05-01,40.37
2018-05-02,40.51
2018-05-03,40.98
2018-05-04,40.45
2018-05-07,41.45
2018-05-08,40.65
2018-05-09,38.69
2018-05-10,39.73
2018-05-11,40.49
2018-05-14,39.26
2018-05-15,40.1
2018-05-16,40.75
2018-05-17,40.9
2018-05-18,39.94
2018-05-21,40.27
2018-05-22,39.35
2018-05-23,38.92
2018-05-24,38.87
2018-05-25,38.86
2018-05-29,39.29
2018-05-30,39.75
2018-05-31,39.63
2018-06-01,39.96
2018-06-04,41.28
2018-06-05,42.14
2018-06-06,43.9
2018-06-07,42.83
2018-06-08,43.12
2018-06-11,43.39
2018-06-12,43.37
2018-06-13,43.98
2018-06-14,45.35
2018-06-15,45.21
2018-06-18,45.62
2018-06-19,45.16
2018-06-20,46.69
2018-06-21,45.2
2018-06-22,45.24
2018-06-25,44.05
2018-06-26,44.29
2018-06-27,43.08
2018-06-28,43.44
2018-06-29,43.94
2018-07-02,44.5
2018-07-03,44.97
2018-07-05,45.35
2018-07-06,45.9
2018-07-09,45.7
2018-07-10,44.99
2018-07-11,45.19
2018-07-12,47.5
2018-07-13,48.71
2018-07-16,48.78
2018-07-17,49.16
2018-07-18,49.04
2018-07-19,48.76
2018-07-20,49.87
2018-07-23,49.92
2018-07-24,49.73
2018-07-25,50.4
2018-07-26,50.03
2018-07-27,48.79
2018-07-30,48.07
2018-07-31,47.52
2018-08-01,48.02
2018-08-02,48.11
2018-08-03,47.77
2018-08-06,48.51
2018-08-07,48.96
2018-08-08,48.28
2018-08-09,48.79
2018-08-10,51.94
2018-08-13,48.99
2018-08-14,52.68
2018-08-15,51.91
2018-08-16,51.61
2018-08-17,50.78
2018-08-20,50.43
2018-08-21,50.57
2018-08-22,50.25
2018-08-23,49.89
2018-08-24,50.73
2018-08-27,51.4
2018-08-28,52.07
2018-08-29,51.22
2018-08-30,50.86
2018-08-31,51.37
2018-09-04,51.38
2018-09-05,50.12
2018-09-06,49.81
2018-09-07,50.36
2018-09-10,50.75
2018-09-11,50.26
2018-09-12,50.62
2018-09-13,50.86
2018-09-14,51.64
2018-09-17,49.57
2018-09-18,50.02
2018-09-19,49.39
2018-09-20,49.85
2018-09-21,50.27
2018-09-24,50.15
2018-09-25,53.72
2018-09-26,54.16
2018-09-27,53.71
2018-09-28,54.03
2018-10-01,53.53
2018-10-02,51.47
2018-10-03,50.53
2018-10-04,50.98
2018-10-05,49.49
2018-10-08,48.41
2018-10-09,48.63
2018-10-10,46.45
2018-10-11,45.41
2018-10-12,46.42
2018-10-15,46.62
2018-10-16,49.45
2018-10-17,49.45
2018-10-18,47.95
2018-10-19,48.0
2018-10-22,48.14
2018-10-23,47.4
2018-10-24,45.44
2018-10-25,46.54
2018-10-26,46.73
2018-10-29,45.63
2018-10-30,47.62
2018-10-31,49.09
2018-11-01,49.14
2018-11-02,48.29
2018-11-05,47.1
2018-11-06,47.48
2018-11-07,55.57
2018-11-08,56.61
2018-11-09,54.99
2018-11-12,51.1
2018-11-13,52.09
2018-11-14,52.55
2018-11-15,53.76
2018-11-16,53.44
2018-11-19,50.67
2018-11-20,50.91
2018-11-21,52.35
2018-11-23,52.9
2018-11-26,54.37
2018-11-27,54.14
2018-11-28,56.75
2018-11-29,55.98
2018-11-30,55.22
2018-12-03,56.88
2018-12-04,55.63
2018-12-06,56.23
2018-12-07,53.46
2018-12-10,53.58
2018-12-11,53.47
2018-12-12,54.91
2018-12-13,54.46
2018-12-14,54.02
2018-12-17,53.31
2018-12-18,53.89
2018-12-19,53.53
2018-12-20,52.05
2018-12-21,50.64
2018-12-24,49.05
2018-12-26,51.7
2018-12-27,53.21
2018-12-28,52.58
2018-12-31,53.62
2019-01-02,53.58
2019-01-03,52.8
2019-01-04,54.92
2019-01-07,55.84
2019-01-08,57.62
2019-01-09,58.31
2019-01-10,58.63
2019-01-11,58.8
2019-01-14,57.22
2019-01-15,58.0
2019-01-16,57.9
2019-01-17,58.49
2019-01-18,58.5
2019-01-22,58.19
2019-01-23,57.8
2019-01-24,57.62
2019-01-25,57.57
2019-01-28,57.74
2019-01-29,57.58
2019-01-30,58.05
2019-01-31,57.92
2019-02-01,57.99
2019-02-04,58.15
2019-02-05,58.4
2019-02-06,57.92
2019-02-07,57.5
2019-02-08,57.36
2019-02-11,57.9
2019-02-12,58.86
2019-02-13,58.43
2019-02-14,58.64
2019-02-15,58.97
2019-02-19,58.57
2019-02-20,58.48
2019-02-21,58.25
2019-02-22,58.0
2019-02-25,56.72
2019-02-26,56.89
2019-02-27,58.45
2019-02-28,58.78
2019-03-01,61.17
2019-03-04,61.74
2019-03-05,63.62
2019-03-06,63.78
2019-03-07,63.89
2019-03-08,64.04
2019-03-11,65.73
2019-03-12,66.57
2019-03-13,67.06
2019-03-14,67.77
2019-03-15,67.3
2019-03-18,67.25
2019-03-19,68.07
2019-03-20,67.43
2019-03-21,67.65
2019-03-22,66.77
2019-03-25,67.4
2019-03-26,67.07
2019-03-27,67.09
2019-03-28,68.0
2019-03-29,68.72
2019-04-01,69.73
2019-04-02,70.58
2019-04-03,71.25
2019-04-04,70.75
2019-04-05,71.47
2019-04-08,70.64
2019-04-09,70.44
2019-04-10,70.76
2019-04-11,71.22
2019-04-12,71.5
2019-04-15,73.29
2019-04-16,73.55
2019-04-17,72.89
2019-04-18,73.41
2019-04-22,73.75
2019-04-23,73.11
2019-04-24,75.03
2019-04-25,75.45
2019-04-26,76.22
2019-04-29,76.07
2019-04-30,75.7
2019-05-01,75.38
2019-05-02,75.35
2019-05-03,72.67
2019-05-06,73.11
2019-05-07,74.19
2019-05-08,76.69
2019-05-09,78.17
2019-05-10,78.6
2019-05-13,75.58
2019-05-14,78.45
2019-05-15,78.76
2019-05-16,80.72
2019-05-17,80.02
2019-05-20,77.74
2019-05-21,76.5
2019-05-22,76.15
2019-05-23,74.41
2019-05-24,74.56
2019-05-28,75.49
2019-05-29,74.56
2019-05-30,75.56
2019-05-31,76.47
2019-06-03,76.39
2019-06-04,77.51
2019-06-05,77.84
2019-06-06,78.91
2019-06-07,77.96
2019-06-10,78.29
2019-06-11,76.6
2019-06-12,78.66
2019-06-13,79.57
2019-06-14,80.76
2019-06-17,80.9
2019-06-18,80.22
2019-06-19,80.35
2019-06-20,78.19
2019-06-21,76.01
2019-06-24,74.31
2019-06-25,71.3
2019-06-26,71.65
2019-06-27,73.13
2019-06-28,72.44
2019-07-01,75.3
2019-07-02,76.05
2019-07-03,76.94
2019-07-05,76.24
2019-07-08,76.35
2019-07-09,76.3
2019-07-10,76.67
2019-07-11,76.67
