Date,Close
2020-01-02,75.08
2020-01-03,75.64
2020-01-06,75.04
2020-01-07,76.33
2020-01-08,76.32
2020-01-09,76.86
2020-01-10,77.22
2020-01-13,79.04
2020-01-14,79.88
2020-01-15,79.02
2020-01-16,79.17
2020-01-17,79.75
2020-01-21,78.9
2020-01-22,79.06
2020-01-23,78.15
2020-01-24,78.52
2020-01-27,78.54
2020-01-28,79.7
2020-01-29,80.25
2020-01-30,81.42
2020-01-31,80.79
2020-02-03,81.58
2020-02-04,82.68
2020-02-05,81.67
2020-02-06,82.34
2020-02-07,82.58
2020-02-10,82.87
2020-02-11,83.12
2020-02-12,84.65
2020-02-13,84.5
2020-02-14,86.46
2020-02-18,87.94
2020-02-19,87.85
2020-02-20,88.04
2020-02-21,87.52
2020-02-24,84.24
2020-02-25,81.17
2020-02-26,75.77
2020-02-27,72.07
2020-02-28,67.49
2020-03-02,68.48
2020-03-03,67.85
2020-03-04,69.88
2020-03-05,62.5
2020-03-06,64.35
2020-03-09,56.65
2020-03-10,62.63
2020-03-11,57.0
2020-03-12,48.32
2020-03-13,53.98
2020-03-16,38.8
2020-03-17,35.39
2020-03-18,27.54
2020-03-19,32.61
2020-03-20,33.93
2020-03-23,37.47
2020-03-24,46.23
2020-03-25,50.33
2020-03-26,52.38
2020-03-27,50.42
2020-03-30,48.6
2020-03-31,48.7
2020-04-01,42.34
2020-04-02,39.84
2020-04-03,36.96
2020-04-06,42.56
2020-04-07,45.87
2020-04-08,52.06
2020-04-09,55.59
2020-04-13,54.18
2020-04-14,55.32
2020-04-15,52.0
2020-04-16,50.1
2020-04-17,56.57
2020-04-20,56.1
2020-04-21,55.22
2020-04-22,57.43
2020-04-23,57.04
2020-04-24,57.9
2020-04-27,62.44
2020-04-28,60.44
2020-04-29,64.23
2020-04-30,60.33
2020-05-01,57.62
2020-05-04,57.44
2020-05-05,57.08
2020-05-06,60.4
2020-05-07,61.14
2020-05-08,60.22
2020-05-11,58.1
2020-05-12,52.01
2020-05-13,47.92
2020-05-14,51.01
2020-05-15,52.32
2020-05-18,57.7
2020-05-19,57.54
