Hotel_Name,breakfast,clean,design,location,room,service,staff,bussinessfriendly,Couple_single,With_children,Group
Relais H tel du Vieux Paris,19,5,1,80,70,2,70,0,18,6,5
Relais Saint Jacques,10,4,3,34,47,4,39,1,13,9,8
Renaissance Paris Arc de Triomphe Hotel,1,0,0,15,14,2,19,1,24,2,3
Renaissance Paris Le Parc Trocadero Hotel,4,0,0,4,5,0,5,0,22,3,5
Renaissance Paris Republique Hotel Spa,1,0,2,0,3,2,5,0,20,4,4
Renaissance Paris Vendome Hotel,0,0,0,8,2,1,4,1,17,4,5
Residence Du Roy,10,6,0,86,76,6,58,0,14,10,2
Residence Henri IV,21,8,0,70,81,6,79,0,23,3,3
Ritz Paris,2,0,0,1,4,5,11,1,21,5,2
Rochester Champs Elysees,9,6,1,38,36,7,47,0,24,4,0
Royal Garden Champs Elysees,15,2,0,56,40,8,54,1,16,5,2
Royal Hotel Champs Elys es,12,2,0,66,47,6,43,0,3,19,3
Royal Saint Honore,7,1,0,51,42,7,50,1,16,6,3
Royal Saint Michel,41,10,0,137,89,12,76,1,19,2,5
Saint James Albany Paris Hotel Spa,61,8,1,263,167,35,184,0,15,10,1
Select Hotel,36,4,5,119,112,2,77,1,15,2,4
Seven Hotel,3,2,3,3,27,3,15,1,14,7,4
Shangri La Hotel Paris,0,0,0,3,13,9,12,0,11,11,1
Snob Hotel by Elegancia,7,2,7,23,17,4,21,0,17,3,5
Sofitel Paris Arc De Triomphe,12,1,1,52,63,22,77,0,18,4,2
Sofitel Paris Baltimore Tour Eiffel,18,3,0,33,21,9,47,0,17,4,3
Sofitel Paris Le Faubourg,5,0,5,43,34,9,38,0,14,8,1
Splendid Etoile,3,3,1,55,48,3,46,0,20,2,1
Splendide Royal Paris,3,0,0,4,7,2,7,0,13,5,5
Suites H tel Helzear Champs Elys es,4,7,3,84,51,11,69,0,18,2,4
Suites H tel Helzear Montparnasse,4,0,0,24,13,0,27,1,15,2,3
TRYP Paris Op ra,3,1,0,25,17,0,21,0,15,3,5
Terrass H tel Montmartre by MH,24,2,4,56,75,6,85,0,13,5,3
The Chess Hotel,17,8,10,97,70,9,66,1,13,1,7
The Westin Paris Vend me,3,1,0,33,17,8,27,1,10,9,3
Timhotel Op ra Blanche Fontaine,9,8,0,28,44,1,30,0,15,5,1
Timhotel Op ra Grands Magasins,3,4,2,15,39,1,18,1,18,2,1
Trinit Haussmann,7,8,0,14,32,1,14,1,10,5,2
Vice Versa,0,0,3,4,13,4,21,0,9,4,7
Victoire Germain,2,1,4,28,23,2,25,1,14,3,0
Victoires Opera,0,0,0,18,8,0,8,1,13,5,1
Victoria Palace Hotel,3,1,0,4,6,4,10,1,14,1,4
Villa Alessandra,1,0,0,8,1,1,4,0,11,4,0
Villa Beaumarchais,41,11,1,104,88,9,99,0,9,2,3
Villa Eugenie,0,0,0,3,6,0,12,1,11,3,1
Villa Lut ce Port Royal,2,1,1,4,13,0,10,1,8,4,2
Villa Montparnasse,6,0,1,14,9,0,18,1,8,4,2
Villa Opera Drouot,10,3,0,31,34,1,42,0,6,7,0
Villa Panth on,14,5,0,112,73,6,91,1,11,1,1
Villa d Estr es,1,0,0,15,7,2,11,1,11,2,1
W Paris Op ra,0,0,1,15,6,3,12,1,10,1,0
Waldorf Madeleine,16,8,2,101,82,11,79,1,11,1,1
Warwick Paris Former Warwick Champs Elysees ,28,4,1,129,62,17,82,0,5,5,2
Westside Arc de Triomphe Hotel,30,12,0,72,75,12,108,0,9,0,3
Windsor Opera,1,3,0,8,8,0,11,0,9,2,1
XO Hotel,1,0,1,3,4,1,3,1,9,1,0
